condition,trial_index_1based,trigger_label,source,mixture,role_if_attended,band,status,source_n,mixture_n,stored_masked_n,stored_overt_n,align_status,max_abs_error_masked,max_abs_error_overt,max_abs_error_reconstruction,negative_masked_count,negative_overt_count,masked_exceeds_source_count,overt_exceeds_mix_count,overt_exceeds_source_count,masked_key,overt_key
dichotic,3,trigger1,male_3,List_1_stim_3,attend,12924-21328,failed_numeric_check,31478,31478,31478,31478,same_length,1.534967680072441e-06,1.9039493892591963e-06,2.066745352635735e-06,0,0,990,5729,3092,List_1_stim_3/male_3/freq_bins/12924-21328,List_1_stim_3/male_3/freq_bins/12924-21328
dichotic,3,trigger1,female_3,List_1_stim_3,ignore,100-310,failed_numeric_check,30723,31478,31478,31478,source_padded_755,1.768453316230989e-06,1.8719484700113753e-06,2.266763289071605e-06,0,0,1633,4866,2810,List_1_stim_3/female_3/freq_bins/100-310,List_1_stim_3/female_3/freq_bins/100-310
dichotic,3,trigger1,female_3,List_1_stim_3,ignore,328-684,failed_numeric_check,30723,31478,31478,31478,source_padded_755,1.8918831941050485e-06,1.8971917654653225e-06,2.0675216489962622e-06,0,0,1539,5150,3055,List_1_stim_3/female_3/freq_bins/328-684,List_1_stim_3/female_3/freq_bins/328-684
dichotic,3,trigger1,female_3,List_1_stim_3,ignore,715-1317,failed_numeric_check,30723,31478,31478,31478,source_padded_755,1.898577131953516e-06,1.8848696399231812e-06,2.4649825149936078e-06,0,0,1646,4983,3173,List_1_stim_3/female_3/freq_bins/715-1317,List_1_stim_3/female_3/freq_bins/715-1317
dichotic,3,trigger1,female_3,List_1_stim_3,ignore,1369-2390,failed_numeric_check,30723,31478,31478,31478,source_padded_755,1.906376624560835e-06,1.903458638707889e-06,2.5262597134201314e-06,0,0,1752,4704,3181,List_1_stim_3/female_3/freq_bins/1369-2390,List_1_stim_3/female_3/freq_bins/1369-2390
dichotic,3,trigger1,female_3,List_1_stim_3,ignore,2478-4207,failed_numeric_check,30723,31478,31478,31478,source_padded_755,1.9028512951990706e-06,1.8946014463949723e-06,2.5136917258805624e-06,0,0,1812,4499,3288,List_1_stim_3/female_3/freq_bins/2478-4207,List_1_stim_3/female_3/freq_bins/2478-4207
dichotic,3,trigger1,female_3,List_1_stim_3,ignore,4356-7285,failed_numeric_check,30723,31478,31478,31478,source_padded_755,1.9060396425629733e-06,1.90732792759718e-06,2.6019350514161488e-06,0,0,1577,4360,3588,List_1_stim_3/female_3/freq_bins/4356-7285,List_1_stim_3/female_3/freq_bins/4356-7285
dichotic,3,trigger1,female_3,List_1_stim_3,ignore,7537-12498,failed_numeric_check,30723,31478,31478,31478,source_padded_755,1.906509652371824e-06,1.9018456143271578e-06,2.43896744933636e-06,0,0,1628,4319,3703,List_1_stim_3/female_3/freq_bins/7537-12498,List_1_stim_3/female_3/freq_bins/7537-12498
dichotic,3,trigger1,female_3,List_1_stim_3,ignore,12924-21328,failed_numeric_check,30723,31478,31478,31478,source_padded_755,1.8967452390938888e-06,1.6253959387313444e-06,1.8250964757271504e-06,0,0,2289,3854,3486,List_1_stim_3/female_3/freq_bins/12924-21328,List_1_stim_3/female_3/freq_bins/12924-21328
dichotic,3,trigger2,female_3,List_2_stim_3,attend,100-310,failed_numeric_check,30723,30723,30723,30723,same_length,1.7327316399473602e-06,1.8881346619536998e-06,2.060532494851941e-06,0,0,1556,5674,2232,List_2_stim_3/female_3/freq_bins/100-310,List_2_stim_3/female_3/freq_bins/100-310
dichotic,3,trigger2,female_3,List_2_stim_3,attend,328-684,failed_numeric_check,30723,30723,30723,30723,same_length,1.8731023487816856e-06,1.9005519504844415e-06,2.2403585475672116e-06,0,0,1393,5881,2467,List_2_stim_3/female_3/freq_bins/328-684,List_2_stim_3/female_3/freq_bins/328-684
dichotic,3,trigger2,female_3,List_2_stim_3,attend,715-1317,failed_numeric_check,30723,30723,30723,30723,same_length,1.8793208269585193e-06,1.8936414605263963e-06,2.567510804851736e-06,0,0,1573,5621,2577,List_2_stim_3/female_3/freq_bins/715-1317,List_2_stim_3/female_3/freq_bins/715-1317
dichotic,3,trigger2,female_3,List_2_stim_3,attend,1369-2390,failed_numeric_check,30723,30723,30723,30723,same_length,1.9065129563955452e-06,1.9001613793534489e-06,2.3972224312274193e-06,0,0,1678,5419,2600,List_2_stim_3/female_3/freq_bins/1369-2390,List_2_stim_3/female_3/freq_bins/1369-2390
dichotic,3,trigger2,female_3,List_2_stim_3,attend,2478-4207,failed_numeric_check,30723,30723,30723,30723,same_length,1.9030837066225104e-06,1.9055388094102454e-06,2.3691339805509415e-06,0,0,1746,5330,2556,List_2_stim_3/female_3/freq_bins/2478-4207,List_2_stim_3/female_3/freq_bins/2478-4207
dichotic,3,trigger2,female_3,List_2_stim_3,attend,4356-7285,failed_numeric_check,30723,30723,30723,30723,same_length,2.928275435465366e-06,1.9052439697020418e-06,2.985434875313331e-06,0,0,1441,5404,2745,List_2_stim_3/female_3/freq_bins/4356-7285,List_2_stim_3/female_3/freq_bins/4356-7285
dichotic,3,trigger2,female_3,List_2_stim_3,attend,7537-12498,failed_numeric_check,30723,30723,30723,30723,same_length,1.9038273109117654e-06,1.889847432323677e-06,2.2041148426410473e-06,0,0,1489,5016,3180,List_2_stim_3/female_3/freq_bins/7537-12498,List_2_stim_3/female_3/freq_bins/7537-12498
dichotic,3,trigger2,female_3,List_2_stim_3,attend,12924-21328,failed_numeric_check,30723,30723,30723,30723,same_length,1.9065028951104068e-06,1.6253959387313444e-06,1.989929863555062e-06,0,0,2194,4063,3315,List_2_stim_3/female_3/freq_bins/12924-21328,List_2_stim_3/female_3/freq_bins/12924-21328
dichotic,3,trigger2,male_3,List_2_stim_3,ignore,100-310,failed_numeric_check,31478,30723,30723,30723,source_truncated_755,1.8783650119758022e-06,1.9022988198003077e-06,2.4041763708737562e-06,0,0,1547,4975,2693,List_2_stim_3/male_3/freq_bins/100-310,List_2_stim_3/male_3/freq_bins/100-310
